runtime_in_min	tissue	chr	npheno
0.77	Kidney_Cortex	16	1211
1.01	Kidney_Cortex	17	1522
0.26	Kidney_Cortex	18	385
1.39	Kidney_Cortex	19	1664
0.4	Kidney_Cortex	20	631
0.19	Kidney_Cortex	21	287
0.44	Kidney_Cortex	22	658
3.28	Liver	1	2241
2.11	Liver	2	1459
1.82	Liver	3	1236
1.36	Liver	4	817
1.45	Liver	5	1004
2.38	Liver	6	1122
1.6	Liver	7	1076
1.22	Liver	8	783
1.24	Liver	9	840
1.31	Liver	10	868
1.76	Liver	11	1221
1.78	Liver	12	1208
0.62	Liver	13	398
1.23	Liver	14	768
1.08	Liver	15	770
1.61	Liver	16	1090
1.94	Liver	17	1381
0.54	Liver	18	346
2.55	Liver	19	1518
0.84	Liver	20	572
0.4	Liver	21	265
0.94	Liver	22	598
8.45	Lung	1	2571
5.76	Lung	2	1729
4.93	Lung	3	1445
3.82	Lung	4	968
4.18	Lung	5	1192
6.59	Lung	6	1324
4.67	Lung	7	1300
3.54	Lung	8	911
3.57	Lung	9	987
3.73	Lung	10	1012
4.9	Lung	11	1398
5.25	Lung	12	1409
1.9	Lung	13	494
3.65	Lung	14	927
3.3	Lung	15	925
4.52	Lung	16	1256
5.6	Lung	17	1612
1.65	Lung	18	419
7.43	Lung	19	1739
2.45	Lung	20	675
1.16	Lung	21	300
2.7	Lung	22	679
2.51	Minor_Salivary_Gland	1	2527
1.74	Minor_Salivary_Gland	2	1711
1.47	Minor_Salivary_Gland	3	1407
1.16	Minor_Salivary_Gland	4	977
1.24	Minor_Salivary_Gland	5	1173
1.97	Minor_Salivary_Gland	6	1269
1.39	Minor_Salivary_Gland	7	1238
1.05	Minor_Salivary_Gland	8	897
1.03	Minor_Salivary_Gland	9	948
1.09	Minor_Salivary_Gland	10	986
1.5	Minor_Salivary_Gland	11	1388
1.48	Minor_Salivary_Gland	12	1380
0.54	Minor_Salivary_Gland	13	479
1.05	Minor_Salivary_Gland	14	920
1.01	Minor_Salivary_Gland	15	911
1.32	Minor_Salivary_Gland	16	1241
1.62	Minor_Salivary_Gland	17	1573
0.46	Minor_Salivary_Gland	18	408
2.07	Minor_Salivary_Gland	19	1693
0.69	Minor_Salivary_Gland	20	651
0.38	Minor_Salivary_Gland	21	304
0.84	Minor_Salivary_Gland	22	677
9.5	Muscle_Skeletal	1	2115
6.44	Muscle_Skeletal	2	1384
5.66	Muscle_Skeletal	3	1191
3.99	Muscle_Skeletal	4	745
4.65	Muscle_Skeletal	5	978
7.06	Muscle_Skeletal	6	1051
5.05	Muscle_Skeletal	7	1013
3.74	Muscle_Skeletal	8	731
3.96	Muscle_Skeletal	9	813
4.12	Muscle_Skeletal	10	815
5.6	Muscle_Skeletal	11	1177
5.55	Muscle_Skeletal	12	1138
1.97	Muscle_Skeletal	13	382
3.62	Muscle_Skeletal	14	690
3.47	Muscle_Skeletal	15	740
4.91	Muscle_Skeletal	16	1004
6.15	Muscle_Skeletal	17	1321
1.62	Muscle_Skeletal	18	311
8.07	Muscle_Skeletal	19	1450
2.64	Muscle_Skeletal	20	540
1.19	Muscle_Skeletal	21	232
2.76	Muscle_Skeletal	22	535
9.22	Nerve_Tibial	1	2538
6.32	Nerve_Tibial	2	1689
5.52	Nerve_Tibial	3	1432
4.25	Nerve_Tibial	4	969
4.73	Nerve_Tibial	5	1218
7.31	Nerve_Tibial	6	1288
5.08	Nerve_Tibial	7	1256
3.96	Nerve_Tibial	8	935
3.92	Nerve_Tibial	9	1023
4.16	Nerve_Tibial	10	1007
5.47	Nerve_Tibial	11	1399
5.73	Nerve_Tibial	12	1442
2.11	Nerve_Tibial	13	504
3.68	Nerve_Tibial	14	857
